"","X1","X2","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3"
"9","Power & Turbines","Turbine model","Renewegy VP-20","Keuka 30kW (Keuka Energy)","Not Decided","Haliade 150-6MW (GE Energy)","Not Decided","SWT-4.0-130 (Siemens)","Schellstede Advanced Offshore Wind Unit  - 200 kW wind translating system","Not Decided","Haliade 150-6MW (GE Energy)","V126-3.45MW (MHI Vestas Offshore Wind)","8MW turbine also in consideration","Not Decided","Not Decided","Not Decided","Not Decided","Herman J. Schellstede and Associates, Inc. patented Advanced Wind System","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","12 x 8MW favoured over 15 x 6MW","XEMC Z72-2000 (XEMC)","Not Decided","Not Decided","Not Decided","Estimate: Siemens 7MW and MHI Vestas 8MW being considered","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided","Not Decided"
"10","Power & Turbines","Turbine capacity","0.02 MW","0.03 MW","","6 MW","0.125 MW","4 MW","0.2 MW","6 MW","6 MW","3.45 MW","6 MW","8 MW - 10 MW","","","12 MW (Minimum)","","","12.5 MW","0.6 MW","4 MW - 8.4 MW","","8 MW","","","","","6 MW (Minimum)","8 MW","6 MW - 8 MW","2 MW","","","","7 MW - 8 MW","","","","","","","","","","","","",""
"11","Power & Turbines","Number of turbines","1","5","","5","1","6","1","1","2","6","2","80  - 106","","","","","","2","1","85  - 187","1","","","","","","35  - 200","15","12  - 15","18","","","","100","","","","","","","","","","","","",""
"12","Power & Turbines","Total turbine height","20 m","","","175 m","","","","","175 m","146 m","","","","","","","","","","","","","","","","","","","","","","","","100 m","","","","","","","","","","","","",""
"13","Power & Turbines","Hub height","15.24 m","","","100.00 m","","","","","100.00 m","83.00 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","Power & Turbines","Rotor diameter","9.6 m","7.6 m","","150 m","","130 m","","","150 m","126 m","","","","","","","","","","","","","","","","","","","","70.65 m","","","","","","","","","","","","","","","","",""
"15","Power & Turbines","Foundation","Floating: Semi-Submersible Platform (VolturnUS floating platform - platform makes use of low cost concrete and light weight composite tower.)","Floating: Semi-Submersible Platform","Floating:","Grounded: Jacket (Piled) (Each jacket weighs approximately 840 tonnes comprising a 440t lower section and a 400t top section (deck).)","Floating: Semi-Submersible Platform","Grounded: Jacket (There will also be a demonstration foundation of Keystone Engineering's twisted foundation.)","Grounded:","Grounded: Mobile Jack-Up (Titan Platform)","Grounded: Monopile (8m diameter)","Grounded: Suction Bucket (450 tonne mono bucket foundations which combine gravity base, monopile, and suction bucket technology to minimize the environmental impacts and reduce costs. The foundation has an ice cone to protect it from ice flows.
 )","Floating: Semi-Submersible Platform (VolturnUS floating concrete foundation. Three or four steel drag embedment anchors per turbine or three or four gravity anchors (i.e. large weighted anchors) per turbine and associated mooring lines)","Grounded: Monopile","Grounded:","Grounded:","Grounded:","Grounded: Jacket (Tripod Jackets)","Grounded: Monopile","Floating: Semi-Submersible Platform","Floating: Spar Floater","Grounded: Jacket","Floating: Spar Floater","Floating: Semi-Submersible Platform (VolturnUS floating platform)","Floating: Semi-Submersible Platform (VolturnUS floating platform)","Grounded:","Grounded:","Grounded:","Various (Jacket and gravity based.)","Grounded: Monopile","Grounded:","Grounded: Monopile","Grounded:","Grounded:","Floating:  (Principle Power Inc’s WindFloat technology)","Floating:  (Statoil’s Hywind and Principle Power’s
WindFloat being considered)","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Floating:","Floating:"
"16","Windspeed","10 year mean wind speed (2000-2009)","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now"
"17","Costs","Stated project cost","USD(mill) 12.00","","","USD(mill) 360.00","","USD(mill) 188.00","","","USD(mill) 300.00","USD(mill) 126.00","USD(mill) 96.00","","","","","USD(mill) 360.00","","","","USD(mill) 2500.00","","","","","","","USD(mill) 5000.00","USD(mill) 1375.00","USD(mill) 740.00","USD(mill) 127.00","","","","","","","","","","","","","","","","",""
"18","Location & Environment","Sea name","Atlantic Ocean","St Johns River","Muskegon Lake","Atlantic Ocean","To be decided","Atlantic Ocean","Gulf of Mexico","Gulf of Mexico","Atlantic Ocean","Lake Erie","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Gulf of Mexico","Atlantic Ocean","To be decided","Undecided","Atlantic Ocean","Undecided","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Gulf of Mexico","Atlantic Ocean","Atlantic Ocean","Pacific Ocean","Pacific Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Pacific Ocean","Pacific Ocean"
"19","Location & Environment","Centre latitude","44.385° (Note: Estimated/Illustrative Location)","29.684°","43.231° (Note: Estimated/Illustrative Location)","41.116°","29.699° (Note: Estimated/Illustrative Location)","39.312°","29.162° (Note: Estimated/Illustrative Location)","29.252° (Note: Estimated/Illustrative Location)","36.907°","41.612°","43.715°","41.033°","40.964°","41.088°","40.295°","29.161°","38.662°","29.684° (Note: Estimated/Illustrative Location)","40.705° (Note: Estimated/Illustrative Location)","38.347°","40.722° (Note: Estimated/Illustrative Location)","43.693° (Note: Estimated/Illustrative Location)","43.677° (Note: Estimated/Illustrative Location)","39.092°","39.361°","36.339°","41.147°","38.547°","41.103°","29.742° (Note: Estimated/Illustrative Location)","40.886°","36.908°","38.390°","35.586°","41.379°","41.235°","41.019° (Note: Estimated/Illustrative Location)","40.788°","40.683°","39.985°","39.985°","39.985°","39.985°","33.461°","33.698°","21.688°","20.994°"
"20","Location & Environment","Centre longitude","-68.824° (Note: Estimated/Illustrative Location)","-81.649°","-86.307° (Note: Estimated/Illustrative Location)","-71.521°","-81.666° (Note: Estimated/Illustrative Location)","-74.411°","-94.773° (Note: Estimated/Illustrative Location)","-94.759° (Note: Estimated/Illustrative Location)","-75.491°","-81.810°","-69.316°","-70.490°","-70.833°","-71.082°","-73.315°","-94.773°","-74.696°","-81.665° (Note: Estimated/Illustrative Location)","-124.242° (Note: Estimated/Illustrative Location)","-74.760°","-124.239° (Note: Estimated/Illustrative Location)","-69.323° (Note: Estimated/Illustrative Location)","-69.324° (Note: Estimated/Illustrative Location)","-74.315°","-74.053°","-75.127°","-71.073°","-74.667°","-71.210°","-92.057° (Note: Estimated/Illustrative Location)","-70.671°","-75.349°","-123.158°","-121.688°","-70.983°","-70.831°","-71.403° (Note: Estimated/Illustrative Location)","-70.473°","-70.236°","-72.942°","-72.942°","-72.942°","-72.942°","-77.915°","-78.288°","-158.509°","-157.863°"
"21","Location & Environment","Area","","","","2 km2","","2 km2","","","8 km2","10 km2","9 km2","306 km2","761 km2","630 km2","321 km2","46 km2","333 km2","","","322 km2","","","","649 km2","742 km2","495 km2","","61 km2","36 km2","","370 km2","456 km2","8,000 km2","275 km2","51 km2","78 km2","","1,003 km2","570 km2","","","","","541 km2","209 km2","621 km2","1,341 km2"
"22","Location & Environment","Depth range (Chart Datum)","18 m - 18 m","2 m - 2 m","","23 m - 28 m","","8 m - 12 m","","","20 m - 26 m","16 m - 19 m","61 m - 110 m","36 m - 49 m","33 m - 57 m","27 m - 49 m","23 m - 42 m","13 m - 17 m","9 m - 33 m","","","12 m - 36 m","","","","13 m - 40 m","14 m - 33 m","31 m - 43 m","27 m - 36 m","18 m - 27 m","31 m - 36 m","","47 m - 58 m","18 m - 33 m","102 m - 1,645 m","824 m - 993 m","2 m - 33 m","6 m - 32 m","","36 m - 64 m","36 m - 64 m","27 m - 60 m","27 m - 60 m","27 m - 60 m","27 m - 60 m","15 m - 29 m","14 m - 20 m","497 m - 1,141 m","32 m - 1,298 m"
"23","Location & Environment","Depth range stated by developer","","","","23 m - 23 m","","8 m - 12 m","","","25 m - 25 m","18 m - 18 m","","","39 m - 50 m","","20 m - 40 m","","","","","20 m - 30 m","","","","","","27 m - 41 m","30 m - 46 m","18 m - 27 m","","","","","","800 m - 1,000 m","","","","","","","","","","","","",""
"24","Location & Environment","Distance from shore (reported)","3.5 km","","","4.5 km","","5 km","","16 km","35 km","11.2 km","","","24 km","","22.5 km","8 km","15 km","","","24 km","","","","19 km","","","","31 km","48 km","1 km","","43.4 km","","48 km","","","","","","","","","","","","",""
"25","Location & Environment","Distance from shore (computed from centre)","","0 km","","28.2 km","","4.6 km","","","42 km","13.8 km","21.1 km","35.1 km","38.7 km","35.7 km","41.3 km","13.3 km","33.1 km","","","25.8 km","","","","30.1 km","30.5 km","57.8 km","30.4 km","33.2 km","39 km","","47.6 km","54.2 km","8.1 km","39.6 km","12.6 km","9.8 km","","58.5 km","63.6 km","83.2 km","83.2 km","83.2 km","83.2 km","48.6 km","23.8 km","27.2 km","29.8 km"
"26","Ports","Installation base","Brewer, before being floated down the Penobscot River to Castine.","","","Port of Providence","","Beckett Street Terminal","","Corpus Christi","","","Turbine assembly: Mack Point Intermodal Cargo Terminal, Searsport","New Bedford Marine Commerce Terminal","New Bedford Marine Commerce Terminal","","","","","Port of Georgetown","","Baltimore (marshaling)","","","","","","","New Bedford Marine Commerce Terminal","Baltimore (marshalling)","New Bedford Marine Commerce Terminal","","","","","Ports of Hueneme, CA (Oxnard) and Long Beach, CA are options.","","","","","","","","","","","","",""
"27","Ports","Ops and maintenance","","","","Point Judith area of Narragansett","","Atlantic City","","Ingleside Navy Base Facility","","Great Lakes Towing facility (Cleveland, Ohio)","","Vineyard Haven, Martha’s Vineyard","","","","","","Port of Georgetown","","Ocean City","","","","","","","Quonset Point","Ocean City","","","","","","Port of Morrow Bay","","","","","","","","","","","","",""
"28","Grid","Converter/Collector platforms","","","","None","","None","None","","None","None","None","","","","","","","","None","","None","","","","","","NELI Interconnector Converter","","","","","","","","","","","","","","","","","","","",""
"29","Grid","Offshore transformers","None","None","","None","","None","None","","None","None","None","2","","","","","","","None","1","None","","","","","","2","1","1","","","","","","","","","","","","","","","","","",""
"30","Grid","Grid connection point","","","","Block Island Substation, New Shoreham, Block Island","","Lewis","","","Camp Pendleton","Cleveland Public Power, Lake Road Substation in Cleveland, Ohio","","Barnstable (estimated)","Brayton Point power station in Somerset","","","","","","","Indian River power plant in Millsboro, Delaware","","","","","","","Brayton Point Substation and Shoreham Substation(LIPA) via New England-Long Island Interconnector(NELI)","Ocean City, MD Substation","69 kV bus at the East Hampton substation","","","","","Morro Bay","","","","","","","","","","","","",""
"31","Grid","Cable landing point","Dyces Head","","","Town Beach (Block Island) and Scarborough Beach (Mainland)","","Pleasentville","","","Camp Pendleton","Cleveland","","Yarmouth or Barnstable (estimated)","","","","","","","","Indian River Inlet","","","","","","","Will connect to NELI Offshore Platform","","Napeague","","","","","Morro Bay","","","","","","","","","","","","",""
"32","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Number of export cables","1","","","1","","","","","1","1","1","2","6","","4","","","","","3","","","","6","","","5","1","1","","","","","4","","","","","","","","","","","","",""
"33","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Average length per cable","","","","10 km","","","","20 km","45 km","14.4 km","26 km","70 km","93 km","","35 km","","","","","60 km","","","","32 km","","","80 km","48 km","80.5 km","","","","","90 km","","","","","","","","","","","","",""
"34","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Transmission type (e.g. HVAC)","","","","","","AC","","","","","","","","","","","","","","","","","","","","","","","AC","","","","","","","","","","","","","","","","","",""
"35","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Nominal voltage","","","","34 kV","","33 kV","","10 kV","","34 kV","34 kV","220 kV","","","","","","","","","","","","","","","","138 kV","138 kV","","","","","","","","","","","","","","","","","",""
"36","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Maximum voltage","","","","","","","","","34 kV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Power rating","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Number of cores","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Conductor type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Section area","","","","","","","","","9503 mm2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Insulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Number fibre optics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Export minimum bend radius (MBR)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Burial depth","","","","1.8 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","Export Cables Please note that export cables connect the offshore transformer (substation) to either; shore or an offshore HVAC-HVDC converter station for onward transmission via HVDC cabling. Please see the converters page for planned converter stations and transmission cables.The export cable length does not generally include the onshore component. The exception is when the onshore substation is close to shore.","Comments","","","","Power will be exported to the mainland via the bi-directional Block Island Transmission System. This is a 34.5kV AC bidirectional cable of 35.1km from Block Island to Rhode Island mainland.","","","","","","","The mainland export cable will need to take 25MW power and the Monhegan Island cable will need to take 300kW.","The project will interconnect to Barnstable and West Barnstable through two offshore cables (for each 800MW of transmission), that travel north from the project site, through Muskeget Channel and will make landfall in Yarmouth and potentially Barnstable depending on final route selection.","","","","","","","","","","","","","","","DWEC will be connected to the Long Island Power Authority’s (LIPA) electric grid via a 98-mile, 600-mega-watt submarine transmission line. The transmission system will also connect the wind farm and Long Island to southeastern New England, allowing Long Island to not only receive wind energy but also to import conven-tional energy from New England, where there’s a surplus of new gas-fired generation, during low-wind periods.","","","","","","","","","","","","","","","","","","","",""
"46","Onshore Cables","Number of onshore cables","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","Onshore Cables","Average length per cable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","Onshore Cables","Comments","","","","","","","","","landing points will either be Camp Pendleton or Croatan Beach.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","Array Cables","Array cable length","0 km","","","3.2 km","0 km","","0 km","0 km","1.05 km","4.5 km","1.7 km","","","","","","","0 km","0 km","196 km","0 km","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","Array Cables","Estimated cable length","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn","LogIn"
"51","Array Cables","Transmission type (e.g. MVAC)","","MVAC","","","","MVAC","","","","","","","","","","","","","","","","","","","","","","MVAC","MVAC","","","","","","","","","","","","","","","","","",""
"52","Array Cables","Nominal voltage","","","","34 kV","","33 kV","","","","","","66 kV","","","","","","","","","","","","","","","","34 kV","","","","","","","","","","","","","","","","","","",""
"53","Array Cables","Maximum voltage","","","","","","","","","34 kV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","Array Cables","Burial depth","","","","1.8 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","Array Cables","Number of cores","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","Array Cables","Conductor type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","Array Cables","Section","","","","","","","","","9503 mm2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","Array Cables","Insulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","Array Cables","Power rating","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","Array Cables","Number of fibre optics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","Array Cables","Minimum bend radius (MBR)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","Array Cables","Comments","","","","","","","","","","","Two 0.5-mile long submarine cables to interconnect each turbine to a seabed hub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","Benefits","Homes powered annually","14","106","0","21248","89","16998","142","4250","8499","14661","8499","566604","1416511","779081","1274860","106238","481614","17706","","531191","","339963","3192815","1381098","1579409","1062383","424953","84991","67993","25497","566604","354128","","708255","","","","","","566604","566604","566604","566604","","","",""
"64","Benefits","CO2 reduced per year","29 tonnes","215 tonnes","0 tonnes","42942 tonnes","179 tonnes","34353 tonnes","286 tonnes","8588 tonnes","17177 tonnes","29630 tonnes","17177 tonnes","1145107 tonnes","2862768 tonnes","1574522 tonnes","2576491 tonnes","214708 tonnes","973341 tonnes","35785 tonnes","","1073538 tonnes","","687064 tonnes","6452679 tonnes","2791199 tonnes","3191986 tonnes","2147076 tonnes","858830 tonnes","171766 tonnes","137413 tonnes","51530 tonnes","1145107 tonnes","715692 tonnes","","1431384 tonnes","","","","","","1145107 tonnes","1145107 tonnes","1145107 tonnes","1145107 tonnes","","","",""
"65","Benefits","SO2 reduced per year","1 tonnes","5 tonnes","0 tonnes","999 tonnes","4 tonnes","799 tonnes","7 tonnes","200 tonnes","399 tonnes","689 tonnes","399 tonnes","26630 tonnes","66576 tonnes","36617 tonnes","59918 tonnes","4993 tonnes","22636 tonnes","832 tonnes","","24966 tonnes","","15978 tonnes","150062 tonnes","64912 tonnes","74232 tonnes","49932 tonnes","19973 tonnes","3995 tonnes","3196 tonnes","1198 tonnes","26630 tonnes","16644 tonnes","","33288 tonnes","","","","","","26630 tonnes","26630 tonnes","26630 tonnes","26630 tonnes","","","",""
"66","Benefits","Expected life","","","","20.0 years","","","","","","20.0 years","20.0 years","25.0 years","","","","30.0 years","","","","25.0 years","","","","","","","25.0 years","","","","","","","","","","","","","","","","","","","",""
"67","Other","Website","Visit","Visit","Visit","Visit","Visit","Visit","","Visit","Visit","Visit","Visit","Visit","Visit","","Visit","","Visit","Visit","Visit","Visit","Visit","Visit","Visit","Visit","","Visit","Visit","Visit","Visit","","","Visit","Visit","Visit","Visit","Visit","","","","Visit","Visit","Visit","Visit","Visit","Visit","Visit","Visit"
